Author,Title,Copyright_Year,
RICHARD PETERSqq ESQ.qq EDITOR,THE PUBLIC STATUTES AT LARGE OF THE UNITED STATES OF AMERICA,1850,ROZIER LIBRARY
RICHARD PETERSqq ESQ.qq EDITOR,THE PUBLIC STATUTES AT LARGE OF THE UNITED STATES OF AMERICA,1848,ROZIER LIBRARY
RICHARD PETERSqq ESQ.qq EDITOR,THE PUBLIC STATUTES AT LARGE AND THE U.S.A.,1848,ROZIER LIBRARY
RICHARD PETERSqq ESQ.qq EDITOR,THE PUBLIC STATUTES AT LARGE OF THE UNITED STATES OF AMERICA,1848,ROZIER LIBRARY
ROBERT WALSHqq JR.,AN APPEAL FROM THE JUDGMENTS OF GREAT BRITIAN,1819,ROZIER LIBRARY
S. AUGUSTUS MITCHELL,A SYSTEM OF MODERN GEOGRAPHY COMPRISING A DESCRIPTION OF THE PRESENT STATE OF THE WORLDqq AND IT'S FIVE GREAT DIVISIONSqq AMERICAqq EUROPEqq ASIAqq AFRICAqq AND OCEANICA WITH THEIR SEVERAL EMPIRESqq KINGDOMSqq STATESqq TERRITORIESqq ETC.,1860,ROZIER LIBRARY
S.G. GOODRICH,A PICTORAL HISTORY OF THE UNITED STATES,1875,ROZIER LIBRARY
S.W. CRITTENDEN,KEY TO AN ELEMENTARY TREATISE ON BOOK-KEEPING,1853,ROZIER LIBRARY
"SAME AS ""CURIOSITIES OF LITERATURE""",MISCELLANIES OF LITERATURE(LITERARY MISCELLANIES. CALAMITIES OF AUTHORS),1841,ROZIER LIBRARY
"SAME AS ""CURIOSITIES OF LITERATURE""",MISCELLANIES OF LITERATURE (QUARRELS OF AUTHORS),1841,ROZIER LIBRARY
"SAME AS ""CURIOSITIES OF LITERATURE""",MISCELLANIES OF LITERATURE (LITERARY CHARACTER. CHARACTER OF JAMES THE FIRST),1841,ROZIER LIBRARY
SAMUEL WARREN,A POPULAR AND PRACTICAL INTRODUCTION TO LAW STUDIES,1846,ROZIER LIBRARY
SENATE AND REPRESENTATIVES,59TH GENERAL ASSEMBLY: JOURNAL OF THE SENATE OF MISSOURI,1937,ROZIER LIBRARY
SHAKESPEARE,SHAKESPEARE'S MACBETH,1927,ROZIER LIBRARY
SIR JAMES MACKINTOSH,THE MODERN BRITISH ESSAYISTS,1848,ROZIER LIBRARY
STATE SUPERINTENDENT OF PUBLIC SCHOOLS,SCHOOL LAWS OF THE STATE OF MISSOURI,1885,ROZIER LIBRARY
T. BABINGTON MACAULAY,ESSAYSqq CRITICAL AND MISCELLANEOUS,1849,ROZIER LIBRARY
THE COMMITTEE OF TWENTY-ONE,PROCEEDINGS OF MISSISSIPPI RIVER CONVENTION,1881,ROZIER LIBRARY
THOMAS BABINGTON MACAULAY,THE HISTORY OF ENGLAND FROM THE ASCENSION OF JAMES II,1849,ROZIER LIBRARY
THOMAS BABINGTON MACAULEY,THE HISTORY OF ENGLAND FROM THE ASCENSION OF JAMES II,1849,ROZIER LIBRARY
THOMAS H. BENTON,THIRTY YEARS IN THE U.S. SENATE,1854,ROZIER LIBRARY
THOMAS J. HENDERSON,OFFICIAL REPORT OF THE TRIAL OF THE HON. ALBERT JACKSONqq JUDGE OF THE FIFTEENTH JUDICIAL CIRCUITqq BEFORE THE SENATEqq COMPOSING THE HIGH COURT OF IMPEACHMENT OF THE STATE OF MO.,1839,ROZIER LIBRARY
THOMAS JEFFERSON,A MANUAL OF PARLIAMENTARY PRACTICE: COMPOSED ORIGINALLY FOR THE USE OF THE SENATE OF THE UNITED STATES,1856,ROZIER LIBRARY
THOMAS MOORE,THE POETICAL WORKS OF THOMAS MOORE,1872,ROZIER LIBRARY
THOMAS MORELL,AINSWORTH'S DICTIONARY,1837,ROZIER LIBRARY
THOMAS T. SMILEY,THE ENCYCLOPEDIA OF GEOGRAPHY,,ROZIER LIBRARY
THOS. W. HARVEY,PRACTICAL GRAMMER,1808,ROZIER LIBRARY
TRANSLATED BY HENRY HUNTER,ST. PIERRE'S STUDIES OF NATURE,1852,ROZIER LIBRARY
U.N. ROBINSON,A THEORETICAL AND PRACTICAL TREATISE ON ALGEBRA,1849,ROZIER LIBRARY
U.S.S.POLARIS C.F. HALL COMMANDING REAR-ADMIRAL C.H. DAVIS U.S.N.,NARRATIVE OF THE NORTH POLAR EXPEDITION,NO DATE,ROZIER LIBRARY
V. VALUE,FRENCH PRONUNCIATION,NO DATE,ROZIER LIBRARY
V. VALUE,FRENCH PRONUNCIATION,NO DATE,ROZIER LIBRARY
W.M. GILLESPIEqq A.M. C.E.,A MANUAL OF THE PRINCIPLES AND PRACTICE OF ROAD-MAKING COMPRISING THE LOCATION qq CONSTRUCTIONqq AND IMPROVEMENT OF ROADS AND RAILROADS,1847,ROZIER LIBRARY
WARREN ARNER,THE EXPERIENCES OF A BARRISTER,1852,ROZIER LIBRARY
WASHINGTON IRVING,THE SKETCH BOOK,1819,ROZIER LIBRARY
WILLIAM DEAN HOWELLS,A MODERN INSTANCE,1910,ROZIER LIBRARY
WILLIAM GRIMSHAW,THE HISTORY OF FRANCE FROM THE FOUNDATION OF THE MONARCHY TO THE DEATH OF LOUIS XVI,1832,ROZIER LIBRARY
WILLIAM ROBERTS,A TREATISE O THE STATUTE OF FRAUDS,1833,ROZIER LIBRARY
WILLIAM SWINTONqq A.M.,WORD-BOOK OF ENGLISH SPELLING,1880,ROZIER LIBRARY
WILLIAM W. STORY,A TREATISE ON THE LAW OF CONTRACTS NOT UNDER SEAL,1847,ROZIER LIBRARY
WM. F. SWITZLER,REPORT ON THE INTERNAL COMMERCE OF THE UNITED STATES FOR THE FISCAL YEAR 1889,1889,ROZIER LIBRARY
NO AUTHOR,NATIONAL SCHOOL SERIES,NO DATE,ROZIER LIBRARY
NO AUTHOR,NO TITLE PAGE,NO DATE,ROZIER LIBRARY
NO AUTHOR,DR. BLAIR'S LECTURES ON RHETORIC,1844,ROZIER LIBRARY
NO AUTHOR,ELEMENTS OF ARITHMETIC,NO DATE,ROZIER LIBRARY
NO AUTHOR,KEY TO DAVIES' ARITHMETIC,1847,ROZIER LIBRARY
NO AUTHOR,STUDY OF GEOGRAPHY,NO DATE,ROZIER LIBRARY
NO AUTHOR,NO TITLE PAGE,NO DATE,ROZIER LIBRARY
NO AUTHOR,NO TITLE PAGE,NO DATE,ROZIER LIBRARY
NO AUTHOR,THE AMERICAN ALMANA AND REPOSITORY OF USEFUL KNOWLEDGE FOR THE YEAR OF 1831,1831,ROZIER LIBRARY
NO AUTHOR,THE AMERICAN ALMANAC AND REPOSITORY OF USEFUL KNOWLEDGEqq FOR THE YEAR OF 1834,1834,ROZIER LIBRARY
NO AUTHOR,THE AMERICAN ALMANAC AND REPOSITORYOF USEFUL KNOWLEDGEqq FOR THE YEAR OF 1835,1835,ROZIER LIBRARY
NO AUTHOR,THE AMERICAN ALMANAC AND REPOSITORY OF USEFUL KNOWLEDGEqq FOR THE YEAR OF 1838,1838,ROZIER LIBRARY
NO AUTHOR,THE AMERICAN ALMANC AND REPOSITORY OF USEFUL KNOWLEDGE FOR THE YEAR 1841,1839,ROZIER LIBRARY
NO AUTHOR,THE AMERICAN ALMANAC AND REPOSITORY OF USEFUL KNOWLEDGE FOR THE YEAR 1841,1841,ROZIER LIBRARY
NO AUTHOR,THE AMERICAN ALMANAC AND REPOSITORY FO USEFUL KNOWLEDGE FOR THE YEAR OF 1842,1842,ROZIER LIBRARY
NO AUTHOR,THE AMERICAN ALMANAC AND REPOSITORY OF USEFUL KNOWLEDGE FOR THE YEAR 1843,1843,ROZIER LIBRARY
NO AUTHOR,THE AMERICAN ALMANAC AND REPOSITORY OF USEFUL KNOWLEDGEqq FOR THE YEAR OF 1844,1843,ROZIER LIBRARY
NO AUTHOR,THE AMERICAN ALMANAC AND REPOSITORY OF USEFUL KNOWLEDGE FOR THE YEAR OF 1845,1844,ROZIER LIBRARY
NO AUTHOR,THE AMERICAN ALMANAC AND REPOSITORY OF USEFUL KNOWLEDGE FOR THE YEAR 1846,1845,ROZIER LIBRARY
NO AUTHOR,THE AMERICAN ALMANACqq AND REPOSITORY OF USEFUL KNOWLEDGEqq FOR THE YEAR 1847,1846,ROZIER LIBRARY
NO AUTHOR,THE AMERICAN ALMANAC REPOSITORY OF USEFUL KNOWLEDGE,1850,ROZIER LIBRARY
NO AUTHOR,THE AMERICAN ALMANAC AND REPOSITORY OF USEFUL KNOWLEDGE FOR THE YEAR 1853,1852,ROZIER LIBRARY
NO AUTHOR,THE AMERICAN ALMANAC AND REPOSITORY OF USEFUL KNOWLEDGE FOR THE YEAR 1856,1855,ROZIER LIBRARY
NO AUTHOR,EXPLORATION OF THE COLORADO RIVER OF THE WEST AND ITS TRIBUTARIES,1875,ROZIER LIBRARY
NO AUTHOR,REPORT AND COLLECTIONS OF THE STATE HISTORICAL SOCIETY OF WISCONSINqq FOR THE YEARS 1880qq 1881qq AND 1882,1882,ROZIER LIBRARY
NO AUTHOR,THE MAYOR'S MESSAGE,1873,ROZIER LIBRARY
NO AUTHOR,OBITUARY ADDRESSES OF HON. WILLIAM R. KING,1854,ROZIER LIBRARY
NO AUTHOR,PRELIMINARY REPORT ON THE IRON ORES AND COAL FIELDS FROM THE FIELD OF WORK OF 1872,1873,ROZIER LIBRARY
NO AUTHOR,REPORT OF THE GEOLOGICAL SURVEY OF THE STATE OF MISSOURI,1874,ROZIER LIBRARY
NO AUTHOR,ANNUAL REPORT AND STATISTICES OF THE CHIEF OF THE BUREAU OF STATISTICS ON THE COMMERCE AND NAVIGATION OF THE U.S. FOR THE FISCAL YEAR ENDED JUNE 30qq 1882,1883,ROZIER LIBRARY
NO AUTHOR,LAWS OF THE STATE OF MISSOURI PASSED AT THE REGULAR SESSION OF THE 26TH GENERAL ASSEMBLY,1871,ROZIER LIBRARY
NO AUTHOR,REGISTER OF DEBATES IN CONGRESSqq COMPRISING THE LEADING DEBATES AND INCIDENTS OF THE SECOND SESSION OF THE TWENTIETH CONGRESSqq TOGETHER WITH APPENDIX,1830,ROZIER LIBRARY
NO AUTHOR,LAWS OF THE STATE OF MISSOURI,1861,ROZIER LIBRARY
NO AUTHOR,EIGHTH ANNUAL REPORT OF THE BOARD OF REGENTS OF THE SMITHSONIAN INSTITUTION,1854,ROZIER LIBRARY
NO AUTHOR,LAWS OF MISSOURI,1931,ROZIER LIBRARY
NO AUTHOR,LAWS OF MISSOURI,1933,ROZIER LIBRARY
NO AUTHOR,LAWS OF MISSOURI,1935,ROZIER LIBRARY
NO AUTHOR,LAWS OF MISSOURI,1937,ROZIER LIBRARY
NO AUTHOR,HOUSE AND SENATE JOURNALS OF THE 59TH ASSEMBLY,1937,ROZIER LIBRARY
NO AUTHOR,HOUSE AND SENATE JOURNALS OF THE 59TH ASSEMBLY,1937,ROZIER LIBRARY
NO AUTHOR,THE REVISED STATUTES OF THE STATE OF MISSOURI,1929,ROZIER LIBRARY
NO AUTHOR,THE COUNTER CASE OF GREAT BRITAIN AS LAID BEFORE THE TRIBUNAL OF ARBITRATIONqq CONVENED AT GENEVA,1872,ROZIER LIBRARY
NO AUTHOR,REPORT OF THE COMMISSIONER OF GENERAL LAND OFFICE,1868,ROZIER LIBRARY
NO AUTHOR,OFFICIAL REPORT OF THE PROCEEDINGS OF THE MISSISSIPPI RIVER IMPROVEMENT CONVENTION HELD IN ST. LOUISqq MISSOURI ON OCTOBER 26TH - 28THqq 1881qq INCLUDING LETTERS FROM DISTINGUISHED MEN THROUGHOUT THE COUNTRY AND PRESS COMMENTS,1881,ROZIER LIBRARY
NO AUTHOR,THE CASE OF THE UNITED STATESqq TO BE LAID BEFORE THE TRIBUNAL OF ARBITRATION TO BE CONVENED AT GENEVA,1872,ROZIER LIBRARY
NO AUTHOR,THE STATESMAN'S MANUAL,1846,ROZIER LIBRARY
NO AUTHOR,THE STATESMAN'S MANUAL,1846,ROZIER LIBRARY
NO AUTHOR,LAWS OF THE STATE OF MISSOURI,1870,ROZIER LIBRARY
NO AUTHOR,LAWS OF THE STATE OF MISSOURI,1872,ROZIER LIBRARY
NO AUTHOR,LAWS OF MISSOURI: GENERAL AND LOCAL LAWS,1875,ROZIER LIBRARY
NO AUTHOR,JOURNAL AND PROCEEDINGS OF THE MISSOURI STATE CONVENTION 1861,1861,ROZIER LIBRARY
NO AUTHOR,JOURNAL OF THE STATE SENATE OF MISSOURI,1875,ROZIER LIBRARY
NO AUTHOR,LAWS OF THE STATE OF MISSOURI,1866,ROZIER LIBRARY
NO AUTHOR,LAWS OF MISSOURI,1879,ROZIER LIBRARY
NO AUTHOR,Cheap Transportation at the Hennepin Canal; Proceedings of the River and Canal Improvement Conventionqq Held at Davenportqq Iowa,1881,Rozier Library
NO AUTHOR,STATUTES OF THE UNITED STATES OF AMERICA,1183,ROZIER LIBRARY
NO AUTHOR,STATUTES OF THE UNITED STATES OF AMERICA,1877,ROZIER LIBRARY
NO AUTHOR,STATUTES OF THE UNITED STATES OF AMERICA,1884,ROZIER LIBRARY
NO AUTHOR,STATUTES OF THE UNITED STATES OF AMERICA,1875,ROZIER LIBRARY
NO AUTHOR,STATUTES OF THE UNITED STATES OF AMERICA,1880,ROZIER LIBRARY
NO AUTHOR,STATUTES OF THE UNITED STATES OF AMERICA,1875,ROZIER LIBRARY
NO AUTHOR,STATUTES OF THE UNITED STATES OF AMERICA,1881,ROZIER LIBRARY
NO AUTHOR,STATUTES OF THE UNITED STATES OF AMERICA,1885,ROZIER LIBRARY
NO AUTHOR,MEMORIAL OF THE UNION MERCHANTS' EXCHANGE OF ST. LOUIS,1874,ROZIER LIBRARY
NO AUTHOR,ANNUAL REPORT OF THE ADJUTANT GENERAL OF MISSOURI,1864,ROZIER LIBRARY
NO AUTHOR,UNITED STATES MONTHLY LAW MAGAZINE AND EXAMINER,JULYqq 1852,ROZIER LIBRARY
NO AUTHOR,ACTS AND RESOLUTIONS OF THE UNITED STATES OF AMERICA,1870,ROZIER LIBRARY
NO AUTHOR,THE STATUTES AT LARGE AND TREATIES OF THE UNITED STATES OF AMERICA,1864,ROZIER LIBRARY
NO AUTHOR,LAWS OF THE STATE OF MISSOURI,1873,ROZIER LIBRARY
NO AUTHOR,LAWS OF THE STATE OF MISSOURI,1860,ROZIER LIBRARY
NO AUTHOR,JOURNAL OF THE MISSOURI STATE SENATEqq XXVII GENERAL ASSEMBLY,1874,ROZIER LIBRARY
NO AUTHOR,LAWS OF MISSOURI GENERAL AND LOCAL LAWS OF THE XXVIITH GENERAL ASSEMBLY,1874,ROZIER LIBRARY
NO AUTHOR,LAWS OF THE STATE OF MISSOURI PASSED AT THE 17TH GENERAL ASSEMBLY,1853,ROZIER LIBRARY
NO AUTHOR,JOURNAL OF THE MISSOURI STATE SENATE OF THE XXVIITH GENERAL ASSEMBLY,1873,ROZIER LIBRARY
NO AUTHOR,LAWS OF THE STATE OF MISSOURI OF THE 14TH GENERAL ASSEMBLY,1847,ROZIER LIBRARY
NO AUTHOR,LAWS OF THE STATE OF MISSOURI PASSED AT ADJOURNED SESSION OF THE 22ND GENERAL ASSEMBLY,1864,ROZIER LIBRARY
NO AUTHOR,LAWS OF MISSOURI PASSED AT THE 34TH GENERAL ASSEMBLY,1887,ROZIER LIBRARY
NO AUTHOR,LAWS OF THE STATE OF MISSOURI PASSED AT THE 24TH GENERAL ASSEMBLY,1868,ROZIER LIBRARY
NO AUTHOR,LAWS OF THE STATE OF MISSOURI PASSED AT THE 22ND GENERAL ASSEMBLY,1863,ROZIER LIBRARY
NO AUTHOR,LAWS OF THE STATE OF MISSOURI PASSED AT THE 23RD GENERAL ASSEMBLY,1865,ROZIER LIBRARY
NO AUTHOR,LAWS OF THE STATE OF MISSOURI PASSED AT THE 16TH GENERAL ASSEMBLY,1851,ROZIER LIBRARY
NO AUTHOR,LAWS OF THE STATE OF MISSOURI PASSED AT THE 18TH GENERAL ASSEMBLY,1855,ROZIER LIBRARY
NO AUTHOR,LOCAL LAWS AND PRIVATE ACTS OF THE STATE OF MISSOUIR PASSED AT THE 18TH GENERAL ASSEMBLY,1856,ROZIER LIBRARY
NO AUTHOR,LAWS OF THE STATE OF MISSOURI PASSED BY THE 19TH GENERAL ASSEMBLY,1857,ROZIER LIBRARY
NO AUTHOR,LAWS OF THE STATE OF MISSSOURI PASSED AT THE 15TH GENERAL ASSEMBLY,1849,ROZIER LIBRARY
NO AUTHOR,JOURNAL OF THE MISSOURI STATE CONVENTIONqq JULYqq 1861,1861,ROZIER LIBRARY
NO AUTHOR,UNITED STATES MONTHLY LAW MAGAZINE AND EXAMINER,APRIL-JUNEqq 1852,ROZIER LIBRARY
NO AUTHOR,UNITED STATES MONTHLY LAW MAGAZINE AND EXAMINER,JULYqq 1852,ROZIER LIBRARY
NO AUTHOR,LAWS OF THE STATE OF MISSOURI PASSED AT THE 25TH GENERAL ASSEMBLY,1869,ROZIER LIBRARY
NO AUTHOR,LAWS OF THE STATE OF MISSOURI PASSED 24TH GENERAL ASSEMBLY,1867,ROZIER LIBRARY
NO AUTHOR,LAWS OF MISSOURI PASSED BY THE ADJOURNED SESSION OF THE NINETEENTH GENERAL ASSEMBLY,1857,ROZIER LIBRARY
NO AUTHOR,INDEX TO THE EXECUTIVE DOCUMENTS OF THE HOUSE OF REPRESENTATIVES FOR THE FIRST SESSION OF THE FORTY-NINTH CONGRESS 1885-86,1886,ROZIER LIBRARY
NO AUTHOR,GENERAL STATUTES OF MISSOURI,1866,ROZIER LIBRARY
NO AUTHOR,REPORT OF THE JOINT SELECT COMMITTEE TO INQUIRE INTO THE CONDITION OF AFFAIRS IN THE LATE INSURRECTIONARY STATES,1872,ROZIER LIBRARY
NO AUTHOR,TESTIMONY TAKEN BY THE JOINT SELECT COMMITTEE TO INQUIRE INTO THE CONDITION OF AFFAIRS IN THE LATE INSURRECTIONARY STATES,1872,ROZIER LIBRARY
NO AUTHOR,TESTIMONY TAKEN BY THE JOINT SELECT COMMITTEE TO INQUIRE INTO THE CONDITION OF AFFAIRS IN THE LATE INSURRECTIONARY STATES,1872,ROZIER LIBRARY
NO AUTHOR,TESTIMONY TAKEN BY THE JOINT SELECT COMMITTEE TO INQUIRE INTO THE CONDITION OF AFFAIRS IN THE LATE INSURRECTIONARY STATES,1872,ROZIER LIBRARY
NO AUTHOR,TESTIMONY TAKEN BY THE JOINT SELECTION COMMITTEE TO INQUIRE INTO THE CONDITION OF AFFAIRS IN THE LATE INSURRECTIONARY STATES,1872,ROZIER LIBRARY
NO AUTHOR,TESTIMONY TAKEN BY THE JOINT SELECTION COMMITTEE TO INQUIRE INTO THE CONDITION OF AFFAIRS IN THE LATE INSURRECTIONARY STATES,1872,ROZIER LIBRARY
NO AUTHOR,TESTIMONY TAKEN BY THE JOINT SELECTION COMMITTEE TO INQUIRE INTO THE CONDITION OF AFFAIRS IN THE LATE INSURRECTIONARY STATES,1872,ROZIER LIBRARY
NO AUTHOR,TESTIMONY TAKEN BY THE JOINT SELECTION COMMITTEE TO INQUIRE INTO THE CONDITION OF AFFAIRS IN THE LATE INSURRECTIONARY STATES,1872,ROZIER LIBRARY
NO AUTHOR,TESTIMONY TAKEN BY THE JOINT SELECTION COMMITTEE TO INQUIRE INTEO THE CONDITION OF AFFAIRS IN INSURRECTIONARY STATES,1872,ROZIER LIBRARY
NO AUTHOR,TESTIMONY TAKEN BY THE JOINT SELECTION COMMITTEE TO INQUIRE INTO THE CONDITION OF AFFAIRS IN THE LATE INSURRECTIONARY STATES,1872,ROZIER LIBRARY
NO AUTHOR,TESTIMONY TAKEN BY THE JOINT SELECTION COMMITTEE TO INQUIRE INTO THE CONDITION OF AFFAIRS,1872,ROZIER LIBRARY
NO AUTHOR,TESTIMONY TAKEN BY THE JOINT SELECT COMMITTEE TO INQUIRE INTO THE CONDITION OF AFFAIRS IN THE LATE INSURRECTIONARY STATES,1872,ROZIER LIBRARY
NO AUTHOR,TESTIMONY TAKEN BY THE JOINT SELECTION TO INQUIRE INTO THE CONDITION OF AFFAIRS IN THE LATE INSURRECTIONARY STATES,1872,ROZIER LIBRARY
NO AUTHOR,REPORT OF THE JOINT SELECT COMMITTEE TO INQUIRE INTO THE CONDITION OF AFFAIRS IN THE LATE INSURRECTIONARY STATES,1872,ROZIER LIBRARY
NO AUTHOR,THE REVISED STATUTES OF THE STATE OF MISSOURI,1879,ROZIER LIBRARY
NO AUTHOR,THE CODE OF PRIOCEDURE OF THE STATE OF NEW YORK,1855,ROZIER LIBRARY
NO AUTHOR,THE REVISED STATUTES OF THE STATE OF MISSOURI,1856,ROZIER LIBRARY
NO AUTHOR,THE REVISED STATUTES OF THE STATE OF MISSOURI,1835,ROZIER LIBRARY
NO AUTHOR,THE REVISED STATUTES OF THE STATE OF MISSOURI,1845,ROZIER LIBRARY
NO AUTHOR,REGISTER OF DEBATES IN CONGRESS,1826,ROZIER LIBRARY
NO AUTHOR,THE REVISED STATUTES OF THE STATE OF MISSOURI,1879,ROZIER LIBRARY
NO AUTHOR,REPORT OF THE COMMISSIONER OF PATENTS FOR THE YEAR 1850,1851,ROZIER LIBRARY
NO AUTHOR,REPORT OF THE COMMISSIONER OF AGRICULTURE FOR THE YEAR 1879,1980,ROZIER LIBRARY
NO AUTHOR,DEPARTMENT OF AGRICULTURE REPORT,1981,ROZIER LIBRARY
NO AUTHOR,FIRST ANNUAL REPORT OF THE BUREAU OF ANIMAL INDUSTRY FOR THE YEAR 1884,1885,ROZIER LIBRARY
NO AUTHOR,DEPARTMENT OF AGRICULTURE REPORT OF 1886,1887,ROZIER LIBRARY
NO AUTHOR,REPORT OF THE COMMISSIONER OF AGRICULTURE,1887,ROZIER LIBRARY
NO AUTHOR,YEARBOOK OF THE UNITED STATES DEPARTMENT OF AGRICULTURE 1910,1911,ROZIER LIBRARY
NO AUTHOR,YEARBOOK OF THE DEPARTMENT OF AGRICULTUREqq 1916,1917,ROZIER LIBRARY
NO AUTHOR,SENATE REPORT OF THE COMMISSIONER OF PATENTS FOR THE YEAR 1849,1850,ROZIER LIBRARY
NO AUTHOR,THE POETICAL WORKS OF MRS. FELICIA HEMANS,1849,ROZIER LIBRARY
NO AUTHOR,SECRET PROCEEDING AND DEBATES OF THE FEDERAL CONVENTION,1821,ROZIER LIBRARY
NO AUTHOR,POETICAL WORKS OF ROGERSqq CAMPBELLqq J. MONTGOMERYqq LAMBqq AND KIRKE WHITE,1849,ROZIER LIBRARY
NO AUTHOR,COLLECTION OF BRITISH AUTHORSqq THE ROSE OF ASHURST IN TWO VOLUMES,NO DATE,ROZIER LIBRARY
NO AUTHOR,THE HUMAN INTEREST LIBRARY; LEADERS OF ALL TIMES,1924,ROZIER LIBRARY
NO AUTHOR,IN MEMORIAM TO JOHN A. MILLER,1905,ROZIER LIBRARY
NO AUTHOR,NO TITLE PAGE,NO DATE,ROZIER LIBRARY
NO AUTHOR,REGISTER OF DEBATES IN CONGRESS OF THE FIRST SESSION OF THE TWENTY-THIRD CONGRESS: TOGETHER WITH AN APPENDIXqq CONTAININGIMPORTANT STATE PAPERS AND PUBLIC DOCUMENTSqq AND THE LAWSqq OF A PUBLIC NATUREqq ENACTED DURING THE SESSION,1834,ROZIER LIBRARY
NO AUTHOR,THE MODERN BRITISH ESSAYISTS,NO DATE,ROZIER LIBRARY
NO AUTHOR,THE MODERN BRITTISH ESSAYISTS,1848,ROZIER LIBRARY
NO AUTHOR,THE MODERN BRITISH ESSAYISTS,1846,ROZIER LIBRARY
NO AUTHOR,THE POEMSqq SACREDqq PASSIONATEqq AND HUMOROUSqq OF NATHANIEL PARKER WILLIS,1847,ROZIER LIBRARY
NO AUTHOR,THE MYSTERY OF ORCIVAL,NO DATE,ROZIER LIBRARY
NO AUTHOR,THE ORATIONS OF DEMOSTHERES,NO DATE,ROZIER LIBRARY
NO AUTHOR,THE ORATIONS OF DEMOSTHENES,NO DATE,ROZIER LIBRARY
NO AUTHOR,VIRGIL,NO DATE,ROZIER LIBRARY
NO AUTHOR,VIRGIL,NO DATE,ROZIER LIBRARY
NO AUTHOR,HORACE,NO DATE,ROZIER LIBRARY
NO AUTHOR,HORACE,1844,ROZIER LIBRARY
NO AUTHOR,CICERO,1840,ROZIER LIBRARY
NO AUTHOR,CICERO,1840,ROZIER LIBRARY
NO AUTHOR,NO TITLE PAGE,NO DATE,ROZIER LIBRARY
NO AUTHOR,THE WORKS OF WILLIAM PALEYqq D.D.,NO DATE,ROZIER LIBRARY
NO AUTHOR,DICKS WORKS,1852,ROZIER LIBRARY
NO AUTHOR,DICKS WORKS,1852,ROZIER LIBRARY
NO AUTHOR,A NEW TREATISE OF THE DUTY OF THE CHRISTIAN TOWARDS GOD AND THE MEANS OF ACQUITTING HIMSELF THERE OF,PREFACE DATED 1850,ROZIER LIBRARY
NO AUTHOR,HINTS TOWARDS FORMING THE CHARACTER OF A YOUNG PRINCESS,NO DATE,ROZIER LIBRARY
NO AUTHOR,A CATECHISM OF ROMAN ANTIQUITIES,1824,ROZIER LIBRARY
NO AUTHOR,SMALL MANUAL OF THE SOCIETY OF SAINT VINCENT OF PAUL,1883,ROZIER LIBRARY
NO AUTHOR,L'ANNONCIATION/THE GOLDEN WREATH FOR THE MONTH OF MAYqq COMPOSED OF DAILY CONSIDERATIONSON THE TRIPLE CROWN OF OUR BLESSED LADY'S JOYSqq SORROWSqq AND GLORIES WITH HYMNS SET TO MUSIC FOR MAY DEVOTIONS,1866,ROZIER LIBRARY
NO AUTHOR,NO TITLE PAGE,NO DATE,ROZIER LIBRARY
NO AUTHOR,ORTHOGRAPHY,NO DATE,ROZIER LIBRARY
NO AUTHOR,NO TITLE PAGE,NO DATE,ROZIER LIBRARY
